FID,site_id,site_on,site_at,corn_desc,city,county,publiccomm,dt_zone,parkride,adaaccess,ada_comm,busstop_yn,node_id,gate,T_Code,board_flag,alight_fla,Lat,Long
636,53473,153rd St W,Office Max,Near side W,APPLE VALLEY,Dakota,3/10 new 440 routing,N,N,Y,Office Max,Y, , , ,1,1,44.72778314,-93.21456427
637,53465,153rd St W,Office Max,Far side E,APPLE VALLEY,Dakota,3/10 new 440 routing,N,N,Y,Office Max,Y, , , ,1,1,44.72753013,-93.2145382
638,90164,154th Street,County Road 83 Control Pt,Far side E,PRIOR LAKE,Dakota,Control Point 3/20,N,N,N, ,N, , , ,0,0,44.72480969,-93.46808701
639,50214,155th St,Gaslight Dr,Far side W,APPLE VALLEY,Dakota,4/15 new AVLO,N,N,Y,Layover - No Stop,N,APLO, , ,0,0,44.72461405,-93.21460521
640,52287,155th St W,Garnet Way,Near side E,APPLE VALLEY,Dakota,10/05 MVTA BSI,N,N,Y,9/09 last used,N, , , ,0,0,44.72466898,-93.21165524
641,50703,155th St W,GasLight / Cedar Ave,Mid block W,APPLE VALLEY,Dakota,was adj old Watson's site,N,N,Y,9/09 last used from old AVTS,N, , , ,0,0,44.72467213,-93.21684013
642,52195,157th S W,Gateway Path,Across from E,APPLE VALLEY,Dakota,10/14 MV id 01481 (12/10 was SB Flagstaff NS 160 St),N,N,Y,Added 3/16,Y, , , ,0,0,44.72297997,-93.21126004
643,52280,157th St Station,#15865 West St,Near side N,APPLE VALLEY,Dakota,#15865 West St,N,Y,Y,NW of Pilot Knob & 160 St,Y,15PR, ,T716,0,0,44.72023704,-93.17872823
644,48985,157th St W,Cedar Ave / Gladstone Path,Mid block E,APPLE VALLEY,Dakota,1/07 locals only - per MVTA,N,N,Y,6/14 abandoned,N, , , ,0,0,44.72077098,-93.21673199
645,52194,157th St W,Flagstaff Ave,Near side E,APPLE VALLEY,Dakota, ,N,N,Y, ,Y,157F, , ,0,0,44.72105008,-93.19765915
646,52190,157th St W,Flagstaff Ave,Far side W,APPLE VALLEY,Dakota, ,N,N,Y, ,Y,157F, , ,0,0,44.72117508,-93.19773812
647,52282,157th St W,Flight Lane,Near side W,APPLE VALLEY,Dakota, ,N,N,Y, ,Y, , , ,0,0,44.72259619,-93.20057913
648,52290,157th St W,Flight Lane,Near side N,APPLE VALLEY,Dakota,10/05 MVTA BSI,N,N,Y, ,Y, , , ,0,0,44.72259506,-93.20091703
649,52283,157th St W,Foliage Ave,Near side W,APPLE VALLEY,Dakota, ,N,N,Y, ,Y, , , ,0,0,44.72282404,-93.20221527
