FID,site_id,site_on,site_at,corn_desc,city,county,publiccomm,dt_zone,parkride,adaaccess,ada_comm,busstop_yn,node_id,gate,T_Code,board_flag,alight_fla,Lat,Long
0,53698,#1145 Shenandoah Lane,Entrance,Near side S,PLYMOUTH,Hennepin,8/13 new SH11,N,N,Y,#1145 Shenandoah Lane Main Entrance,Y,SH11, , ,0,0,44.99242095,-93.47656317
1,49019,#12155 ESS - REZ,Johnny Cake Ridge,Near side W,APPLE VALLEY,Dakota,Pre-2004 Rt 440,N,N,Y,Reservation Only,N, , , ,0,0,44.77481891,-93.18696226
2,51223,#2200 Main St P&R,Hwy 35E,Near side W,LINO LAKES,Anoka, ,N,Y,N,No bus svc - P&R #513 only,N, , , ,0,0,45.16421805,-93.03085119
3,51771,#2420 Cleveland,Co Rd B-2 Fair P&R,Near side N,ROSEVILLE,Ramsey, ,N,N,Y,2006 last used - was B2CL,N, , , ,0,0,45.01521492,-93.18653399
4,44364,#3400 Entrance,Parklawn Ave,Near side W,EDINA,Hennepin, ,N,N,Y,Entrance,Y,34PK, , ,1,1,44.86872942,-93.32325452
5,49022,#4345,Nicols Rd,Near side W,EAGAN,Dakota,Lewis House NOT public (shelter),N,N,Y,12/04 was Reservation Only,N, , , ,0,0,44.79618702,-93.21804919
6,40182,#4400 Baker Rd,Office Entrance,Near side S,MINNETONKA,Hennepin,1/10 was Fingerhut Corp,N,N,Y,3/10 was FIHT new 44BK,N, , , ,0,0,44.9211912,-93.45035121
7,53459,#4400 Baker Rd,Office Entrance,Near side S,MINNETONKA,Hennepin,3/10 new 44BK was FIHT = Fingerhut #40182,N,N,Y,8/13 abandoned 44BK,N, , , ,0,0,44.9211912,-93.45035121
8,44365,#7635,Edinborough Way,Near side S,EDINA,Hennepin,6/07 was SB Edinborough NS #3300 - Miracle Ear,N,N,Y,3/12 eliminate EDBO,N, , , ,0,0,44.86300098,-93.32144203
9,43202,101st Ave N,Boundary Creek Terrace,Across from E,MAPLE GROVE,Hennepin,BTR 10/06 - 2/06,N,N,Y, ,Y,101B, , ,0,0,45.13767803,-93.41326114
10,43158,101st Ave N,Boundary Creek Terrace,Near side W,MAPLE GROVE,Hennepin,5/11 BTR temp 101B D-7837 (9/06 - was 101B),N,N,Y,6/13 BTR temp 101B D-12439,N, , , ,0,0,45.13778708,-93.41300095
11,43204,101st Ave N,Quaker Lane,Near side E,MAPLE GROVE,Hennepin,Need site check,N,N,Y, ,Y, , , ,0,0,45.13768103,-93.41023126
12,43203,101st Ave N,Revere Lane,Near side E,MAPLE GROVE,Hennepin,Need site check,N,N,Y,Last used 9/06,N, , , ,0,0,45.13767698,-93.41220818
13,43185,101st Ave N,Valley Forge Lane,Near side W,MAPLE GROVE,Hennepin,5/11 D-7837,N,N,Y, ,Y, , , ,0,0,45.13779292,-93.41728888
14,43201,101st Ave N,Valley Forge Lane,Near side E,MAPLE GROVE,Hennepin,5/11 D-7837,N,N,Y, ,Y, , , ,0,0,45.13770198,-93.41761508
15,43186,101st Ave N,Zachary Lane,Near side W,MAPLE GROVE,Hennepin,5/11 D-7837,N,N,Y, ,Y, , , ,0,0,45.13784306,-93.42187105
16,52197,102nd St E,4th Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.81901404,-93.27107196
17,484,102nd St E,Clinton Ave S,Across from W,BLOOMINGTON,Hennepin,4/14 recycled,N,N,Y, ,Y, , , ,1,1,44.81910998,-93.27191819
18,1413,102nd St E,Nicollet Ave S,Near side E,BLOOMINGTON,Hennepin,3/12  B. Smith,N,N,Y, ,Y, , , ,1,1,44.81901003,-93.27865197
19,52198,102nd St E,Portland Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.81900514,-93.26855532
20,485,102nd St E,Portland Ave S,Far side W,BLOOMINGTON,Hennepin,4/14 recycled - was NB Portland NS 103rd (until 2005),N,N,Y, ,Y, , , ,1,1,44.81912716,-93.26895721
21,52196,102nd St E,Stevens Ave / 2nd Ave S,Mid block E,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y,1022, , ,1,0,44.81901204,-93.27544606
22,486,102nd St E,Stevens Ave S,Near side W,BLOOMINGTON,Hennepin,8/14 + 1022 (4/14 recycled),N,N,Y, ,Y,1022, , ,0,1,44.81911288,-93.27585128
23,1725,102nd St W,Abbott Ave S,Across from E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81914898,-93.32347015
24,1635,102nd St W,Abbott Ave S,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81926614,-93.32310603
25,1724,102nd St W,Beard Ave S,Across from E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.81914707,-93.32512515
26,1636,102nd St W,Beard Ave S,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81926309,-93.32484628
27,50027,102nd St W,Blaisdell Ave S,Across from W,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.81910005,-93.27968209
28,1412,102nd St W,Blaisdell Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y,3/12 delete B. Smith,N, , , ,0,0,44.81901309,-93.28001318
29,1723,102nd St W,Chowen Ave S,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81915708,-93.32575319
30,1638,102nd St W,Drew Ave S,Across from W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81929717,-93.32694328
31,1722,102nd St W,Drew Ave S,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81918905,-93.32704019
32,1639,102nd St W,France Ave S,Near side W,BLOOMINGTON,Hennepin,Need site check - Posted no parking,N,N,Y, ,Y,10FR, , ,1,1,44.81934003,-93.32932101
33,1721,102nd St W,France Ave S,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,N, ,Y,10FR, , ,1,1,44.81917991,-93.32993619
34,1720,102nd St W,Goodrich Rd,Across from E,BLOOMINGTON,Hennepin,10/14 US Bench will relocate to NS France,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.81918313,-93.33155733
35,1640,102nd St W,Goodrich Rd,Near side W,BLOOMINGTON,Hennepin,Thomas Jefferson High Posted no parking,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.81930912,-93.33126309
36,1409,102nd St W,Grand Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.81899595,-93.28494118
37,42511,102nd St W,Harriet Ave S,Near side W,BLOOMINGTON,Hennepin, ,N,N,Y,Street,Y, , , ,1,1,44.81911503,-93.28592213
38,1408,102nd St W,Harriet Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y,Street,Y, , , ,1,1,44.8190009,-93.28623499
39,1719,102nd St W,Harrison Rd,Across from E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,Crosswalk,Y, , , ,1,1,44.81918197,-93.3329151
40,1641,102nd St W,Harrison Rd,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,Crosswalk,Y, , , ,1,1,44.81930203,-93.33249524
41,1642,102nd St W,Irwin Rd,Near side W,BLOOMINGTON,Hennepin, ,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.81930208,-93.33377321
42,1643,102nd St W,Johnson Ave S,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81929797,-93.33545401
43,1718,102nd St W,Johnson Ave S,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81915802,-93.33547204
44,1644,102nd St W,Little Rd,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.81928295,-93.33676427
45,1717,102nd St W,Little Rd,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.8191572,-93.33706621
46,50079,102nd St W,Little Rd / Nord Ave,Mid block W,BLOOMINGTON,Hennepin,Need site check,N,N,Y,Crosswalk,Y, , , ,1,1,44.819273,-93.33836219
47,42510,102nd St W,Lyndale Ave S,Near side W,BLOOMINGTON,Hennepin,12/11 customer request B. Smith,N,N,Y, ,Y, , , ,1,1,44.81912212,-93.28843611
48,42518,102nd St W,Lyndale Ave S,Far side E,BLOOMINGTON,Hennepin,12/11 customer req B. Smith,N,N,Y, ,Y, , , ,1,1,44.81900194,-93.28800725
49,1652,102nd St W,Nesbitt Ave S,Near side W,BLOOMINGTON,Hennepin,1/08 Correction - was SB Nesbitt FS 102 St,N,N,Y,Last 6/08 Rt 589,N, , , ,0,0,44.81881804,-93.35825321
50,50078,102nd St W,Nord Ave / Little Rd,Mid block E,BLOOMINGTON,Hennepin,10/14 missing T-sign,N,N,Y,Crosswalk,Y, , , ,1,1,44.81915001,-93.33855233
51,1716,102nd St W,Nord Ave S,Across from E,BLOOMINGTON,Hennepin,Posted no parking,N,N,N, ,Y, , , ,1,1,44.81913007,-93.34147128
52,1645,102nd St W,Nord Ave S,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81926288,-93.34119102
53,1649,102nd St W,Normandale Blvd,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81899491,-93.3501323
54,42513,102nd St W,Pleasant Ave S,Near side W,BLOOMINGTON,Hennepin, ,N,N,Y,Street,Y, , , ,1,1,44.81912209,-93.28341403
55,1410,102nd St W,Pleasant Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y,3/12 delete B. Smith,N, , , ,0,0,44.81900795,-93.28373499
56,1646,102nd St W,Rich Rd,Across from W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81923699,-93.34315893
57,1715,102nd St W,Rich Rd,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81910811,-93.34347816
58,1647,102nd St W,Scarborough Rd,Across from W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.8192152,-93.34611417
59,1714,102nd St W,Scarborough Rd,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81907819,-93.34605327
60,1648,102nd St W,Toledo Circle,Across from W,BLOOMINGTON,Hennepin,Posted no parking,N,N,N, ,Y, , , ,1,1,44.81919299,-93.34809221
61,1713,102nd St W,Toledo Circle,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81906214,-93.34843103
62,42512,102nd St W,Wentworth Ave S,Near side W,BLOOMINGTON,Hennepin, ,N,N,Y,3/12 delete B. Smith,N, , , ,0,0,44.81911108,-93.28087221
63,1411,102nd St W,Wentworth Ave S,Near side E,BLOOMINGTON,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.81899713,-93.28123099
64,1651,102nd St W,Wildwood Rd,Across from W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,Last 6/08 Rt 589,N, , , ,0,0,44.81878493,-93.35362532
65,1710,102nd St W,Wildwood Rd,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,Last 6/08 Rt 589,N, , , ,0,0,44.81864805,-93.35390135
66,1633,102nd St W,York Lane,Across from W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81925008,-93.32033725
67,1727,102nd St W,York Lane,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81912812,-93.32065113
68,1634,102nd St W,Zenith Lane,Across from W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.81925607,-93.3216021
69,1726,102nd St W,Zenith Lane,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,10/14 spacing A-16164,N, , , ,0,0,44.81913697,-93.32192409
70,482,104th St E,4th Ave S,Across from E,BLOOMINGTON,Hennepin,4/14 restored (abandoned 2005),N,N,N, ,Y, , , ,1,1,44.81538407,-93.27111515
71,40181,104th St E,4th Ave S,Near side W,BLOOMINGTON,Hennepin,3/12 recycled per B.Smith,N,N,N, ,Y, , , ,1,1,44.815477,-93.27080092
72,483,104th St E,5th Ave S,Across from E,BLOOMINGTON,Hennepin, ,N,N,Y,abandoned 2005,N, , , ,0,0,44.81538394,-93.26987723
73,481,104th St E,Clinton Ave S,Across from E,BLOOMINGTON,Hennepin, ,N,N,Y,abandoned 2005,N, , , ,0,0,44.81537901,-93.2725611
74,52199,104th St E,Holy Emmanuel Church,Across from W,BLOOMINGTON,Hennepin,4/14 D-14604 (2nd Ave / Stevens),N,N,Y, ,Y, , , ,1,1,44.81548898,-93.27464135
75,21386,104th St E,Holy Emmanuel Church,Near side E,BLOOMINGTON,Hennepin,8/14 recycle per B. Smith (Pre-HASTUS),N,N,N,ADA = driveway,Y, , , ,1,1,44.81538302,-93.273967
76,51889,104th St E,Nicollet Ave S,Near side W,BLOOMINGTON,Hennepin,9/10 was 104N - last used,N,N,Y,4/14 D-14604,Y, , , ,1,1,44.81548407,-93.27834195
77,41541,104th St W,Bloomington Frwy Rd,Far side W,BLOOMINGTON,Hennepin, ,N,N,N,No curb-cuts,Y,10BL, , ,1,1,44.8154521,-93.29267833
78,1397,104th St W,Devonshire Rd,Near side W,BLOOMINGTON,Hennepin, ,N,N,N,ADA = driveway,Y, , , ,1,1,44.81544797,-93.29418019
79,1399,104th St W,Humboldt Ave S,Near side W,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,ADA = driveway,Y, , , ,1,1,44.81533208,-93.29856531
80,40303,105th Ave NE,6th St NE,Near side W,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16082408,-93.26483393
81,40304,105th Ave NE,6th St NE,Near side E,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16073886,-93.26513101
82,40306,105th Ave NE,7th St NE,Across from E,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16074294,-93.26375893
83,40305,105th Ave NE,7th St NE,Near side W,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16082792,-93.26352317
84,40307,105th Ave NE,Jefferson St NE,Near side E,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16275699,-93.25595888
85,40309,105th Ave NE,President Dr NE,Across from E,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16072788,-93.26252213
86,40308,105th Ave NE,President Dr NE,Near side W,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16080886,-93.26226218
87,40310,105th Ave NE,Terrace Rd NE,Near side W,BLAINE,Anoka, ,N,N,N, ,N, , , ,0,0,45.16105515,-93.26076714
88,40311,105th Ave NE,Terrace Rd NE,Near side E,BLAINE,Anoka, ,N,N,N, ,N, , , ,0,0,45.16089796,-93.26101314
89,40312,105th Ave NE,University Ave,Near side W,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16083594,-93.26589118
90,40313,105th Ave NE,University Ave,Far side E,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16073914,-93.26598107
91,40315,105th Ave NE,Washington Blvd NE,Across from E,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16178501,-93.25906524
92,40314,105th Ave NE,Washington Blvd NE,Near side W,BLAINE,Anoka, ,N,N,N, ,Y, , , ,0,0,45.16197113,-93.25891912
93,1393,106th St,Lyndale Ave / Bloomington Frwy R,Mid block W,BLOOMINGTON,Hennepin,N/A #10504 Country Inn Apts per B. Smith,N,N,Y,9/12 B. Smith replaced BS sign,Y, , , ,1,1,44.811951,-93.28973104
94,1657,106th St W,Alabama Circle,Across from W,BLOOMINGTON,Hennepin,Deleted 7/17,N,N,Y,Deleted 7/17,N,NULL, , ,0,0,44.81100615,-93.35983812
95,1704,106th St W,Alabama Circle,Near side E,BLOOMINGTON,Hennepin, ,N,N,N, ,Y, , , ,0,0,44.81101093,-93.36014925
96,1658,106th St W,Brunswick Rd,Near side W,BLOOMINGTON,Hennepin,6/08 was localized MB Alabama / Brunswick,N,N,N,NS driveway,Y,10BR, , ,0,0,44.81109299,-93.36084936
97,1403,106th St W,Lyndale Ave S,Near side E,BLOOMINGTON,Hennepin,4/03 was NB Lyndale FS 106 St,N,N,Y,Double left-turn,Y, , , ,1,1,44.81177499,-93.28881316
98,1705,106th St W,Nesbitt Ave S,Near side E,BLOOMINGTON,Hennepin,Need site check,N,N,N, ,Y, , , ,0,0,44.81077015,-93.358538
99,1402,106th St W,River Terrace,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.81181395,-93.29257014
100,1401,106th St W,Verdi Rd,Near side E,BLOOMINGTON,Hennepin,Posted no parking,N,N,Y,Crosswalk,Y, , , ,1,1,44.81181888,-93.29461233
101,56794,108th St W,France Ave S,Near side W,BLOOMINGTON,Hennepin,New 3/19,N,N,Y, ,Y, , , ,0,0,44.80846612,-93.3293651
102,43172,109th Ave N,Nathan Lane,Near side E,MAPLE GROVE,Hennepin,BTR 10/06 - 2/06,N,N,Y, ,Y,109N, , ,0,0,45.15202315,-93.40714331
103,43217,109th Ave N,Trenton Lane,Across from W,CHAMPLIN,Hennepin,BTR 10/06 - 2/06,N,N,Y, ,Y, , , ,0,0,45.15223513,-93.41228907
104,43171,109th Ave N,Trenton Lane,Near side E,MAPLE GROVE,Hennepin,BTR 10/06 - 2/06,N,N,Y, ,Y, , , ,0,0,45.15209306,-93.41256919
105,43218,109th Ave N,Wellington Lane,Across from W,CHAMPLIN,Hennepin,BTR 10/06 - 2/06,N,N,Y, ,Y, , , ,0,0,45.15230197,-93.41774993
106,43170,109th Ave N,Wellington Lane,Near side E,MAPLE GROVE,Hennepin,BTR 10/06 - 2/06,N,N,Y, ,Y, , , ,0,0,45.15215209,-93.41792414
107,17050,109th Ave NE,4th St NE,Near side W,BLAINE,Anoka, ,N,N,Y,AX Oak Park Plaza,Y, , , ,1,1,45.16813191,-93.26475225
108,17051,109th Ave NE,5th St NE,Near side W,BLAINE,Anoka, ,N,N,Y, ,N, , , ,0,0,45.16811591,-93.26334108
109,17053,109th Ave NE,6th St NE,Near side W,BLAINE,Anoka, ,N,N,Y, ,Y, , , ,1,1,45.16810398,-93.26210796
110,17052,109th Ave NE,6th St NE,Near side E,BLAINE,Anoka,Eliminated  11/17,N,N,Y,Eliminated  11/17,N,NULL, , ,0,0,45.16794808,-93.26296912
111,17055,109th Ave NE,7th St NE,Near side W,BLAINE,Anoka, ,N,N,Y, ,Y, , , ,1,1,45.16810989,-93.26070822
112,17054,109th Ave NE,7th St NE,Near side E,BLAINE,Anoka, ,N,N,Y, ,Y, , , ,1,1,45.16793306,-93.26174922
113,17059,109th Ave NE,Jefferson St NE,Near side E,BLAINE,Anoka, ,N,N,Y, ,Y,109J, , ,1,1,45.16801097,-93.25592897
114,48934,109th Ave NE,Jefferson St NE,Far side W,BLAINE,Anoka,Need site check,N,N,Y, ,Y, , , ,1,1,45.16819406,-93.25600996
115,17057,109th Ave NE,President Dr,Near side W,BLAINE,Anoka,Eliminated  11/17,N,N,Y,Eliminated  11/17,N,NULL, , ,0,0,45.16818611,-93.25929518
116,17056,109th Ave NE,President Dr,Near side E,BLAINE,Anoka, ,N,N,Y, ,Y, , , ,1,1,45.16797798,-93.2604451
117,17058,109th Ave NE,Terrace Rd,Near side E,BLAINE,Anoka, ,N,N,Y, ,Y, , , ,1,1,45.16801692,-93.25911982
118,40316,109th Ave NE,University Ave / 4th St,Mid block E,BLAINE,Anoka,9/13 not P&R,N,N,Y,Oak Park Plaza,Y,NOUV, , ,1,1,45.16790601,-93.26500596
119,40319,109th Ave NE,University Ave NE,Near side W,BLAINE,Anoka,Posted no parking,N,N,Y,50 ft back,Y,NOUV, , ,1,1,45.16815891,-93.26576186
120,53914,10th Ave,15th St,Near side S,NEWPORT,Washington,4/15 new A-17097,N,N,Y, ,Y, , , ,0,0,44.8713361,-92.99629137
121,51701,10th Ave,Adams St,Far side E,SHAKOPEE,Scott, ,N,N,Y,#1101 - Sand-Venture Aquatic Park,Y,SHPO, , ,0,0,44.78823803,-93.54073921
122,51805,10th Ave E,Dakota St,Near side W,SHAKOPEE,Scott, ,N,N,Y,5/06 deleted,N, , , ,0,0,44.7883932,-93.51409831
123,51816,10th Ave E,Dakota St,Far side E,SHAKOPEE,Scott, ,N,N,Y,5/06 deleted,N, , , ,0,0,44.78822398,-93.51341316
124,51806,10th Ave E,Spencer St,Near side W,SHAKOPEE,Scott, ,N,N,Y,5/06 deleted,N, , , ,0,0,44.78839391,-93.51992804
125,51699,10th Ave E,Spencer St,Near side E,SHAKOPEE,Scott,see #51973 - sr hi,N,N,Y,12/05 last used,N, , , ,0,0,44.78822395,-93.52032106
126,51972,10th Ave E,Spencer St,Far side W,SHAKOPEE,Scott, ,N,N,Y,5/06 deleted,N, , , ,0,0,44.78839094,-93.52028324
127,51973,10th Ave E,Spencer St S,Far side E,SHAKOPEE,Scott,8/14 was 10SP,N,N,Y, ,Y, , , ,0,0,44.78823194,-93.51983216
128,52916,10th Ave N,1st St / Mainstreet,Near side S,HOPKINS,Hennepin,8/08 was 101S,N,N,Y,9/09 Rt 612 eliminated,N, , , ,0,0,44.92507014,-93.41274421
129,44107,10th Ave N,Boone Ave N,Near side W,GOLDEN VALLEY,Hennepin,Need site check,N,N,N, ,Y, , , ,1,1,44.98916896,-93.38983234
130,44275,10th Ave N,Boone Ave N,Far side E,GOLDEN VALLEY,Hennepin,Need site check,N,N,N, ,Y, , , ,1,1,44.98904809,-93.38987706
131,44703,10th Ave N,Hwy 169 Service Rd,Near side E,PLYMOUTH,Hennepin, ,N,N,Y, ,Y, , , ,0,0,44.98932007,-93.40135411
132,44666,10th Ave N,Hwy 169 Service Rd,Far side W,PLYMOUTH,Hennepin, ,N,N,Y, ,Y, , , ,0,0,44.98944801,-93.40162914
133,44667,10th Ave N,Nathan Lane,Near side W,PLYMOUTH,Hennepin, ,N,N,Y, ,Y,10NA, , ,0,0,44.98946713,-93.4053922
134,47093,10th Ave N,Wisconsin Ave N,Near side E,GOLDEN VALLEY,Hennepin,Need site check,N,N,Y, ,Y, , , ,1,1,44.98905907,-93.38577009
135,16577,10th Ave SE,4th St SE,Near side S,MINNEAPOLIS,Hennepin, ,N,N,Y, ,N, , , ,0,0,44.98286807,-93.24129597
136,56699,10th Ave SE,5th St SE,Near side S,MINNEAPOLIS,Hennepin,New 8/18,N,N,Y, ,Y, , , ,1,1,44.98381108,-93.24054724
137,41249,10th Ave SE,6th St SE,Near side N,MINNEAPOLIS,Hennepin,5/10 RI-6380 was NS 5 St,N,N,Y,Permanently eliminated 8/18,Y, , , ,0,0,44.9845189,-93.23978
138,16575,10th Ave SE,6th St SE,Near side S,MINNEAPOLIS,Hennepin,Permanently eliminated 8/18,N,N,Y,Permanently eliminated 8/18,Y, , , ,0,0,44.98478012,-93.23978616
139,41251,10th Ave SE,7th St SE,Near side N,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98552402,-93.23897807
140,16047,10th Ave SE,8th St SE,Far side N,MINNEAPOLIS,Hennepin, ,N,N,Y,100 ft farside 8 St SE,Y, , , ,1,1,44.98698511,-93.23752029
141,16046,10th Ave SE,8th St SE,Near side S,MINNEAPOLIS,Hennepin,11/14 shelter 2541,N,N,Y, ,Y, , , ,1,1,44.98721591,-93.23933496
142,16045,10th Ave SE,Hennepin Business Center,Near side S,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98921799,-93.23698315
143,16133,10th Ave SE,University Ave,Far side S,MINNEAPOLIS,Hennepin,4/05 RI-19201 deleted,N,N,Y,8/15 relocated,Y, , , ,0,0,44.98156496,-93.24235404
144,53566,10th St,4th Ave / 5th Ave - Layover,Mid block E,MINNEAPOLIS,Hennepin, ,Y,N,Y,Layover Only - No Stop,N,104A, , ,0,0,44.97121504,-93.26828517
145,40175,10th St,Cedar St,Near side E,SAINT PAUL,Ramsey,2/12 closed D-9706,Y,N,Y,12/12 eliminated = 94 map,N, , , ,0,0,44.95025794,-93.09754529
146,40173,10th St,Main St,Far side E,SAINT PAUL,Ramsey,10/07 BTR - 12/06 detour,Y,N,Y,6/10 deleted RI-6529,N, , , ,0,0,44.94876203,-93.10163223
147,11907,10th St,Robert St,Near side W,SAINT PAUL,Ramsey,7/10 US Bench list,Y,N,Y,9/05 abandoned,N, , , ,0,0,44.95144801,-93.09454813
148,52329,10th St E,Cedar St,Near side W,SAINT PAUL,Ramsey,3/12-12/12 CCLRT,Y,N,Y, ,Y, , , ,1,1,44.95034309,-93.096816
149,7449,10th St N,Gershwin Ave N,Near side W,OAKDALE,Washington,Posted no parking,N,N,N,street,Y, , , ,1,1,44.96330296,-92.98115503
150,3069,10th St N,Gershwin Ave N,Far side E,OAKDALE,Washington,1/03 RI-6 was NS,N,N,Y, ,Y, , , ,1,1,44.96316294,-92.98093406
151,7448,10th St N,Glenbrook Ave N,Across from W,OAKDALE,Washington, ,N,N,N,ADA = driveway,Y, , , ,1,1,44.96329386,-92.97953797
152,3070,10th St N,Glenbrook Ave N,Near side E,OAKDALE,Washington,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.96315402,-92.97980011
153,3072,10th St N,Granada Ave N,Across from E,OAKDALE,Washington,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.96313213,-92.97476626
154,7446,10th St N,Granada Ave N,Near side W,OAKDALE,Washington,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.96327799,-92.97450524
155,7445,10th St N,Greenway Ave,Across from W,OAKDALE,Washington,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.96326805,-92.96953895
156,3073,10th St N,Greenway Ave,Near side E,OAKDALE,Washington,Posted no parking,N,N,Y, ,Y, , , ,1,1,44.96309199,-92.96995025
157,7447,10th St N,Holy Cross Church,Across from W,OAKDALE,Washington,Posted no parking,N,N,N,#6355 driveway,Y, , , ,1,1,44.96328494,-92.97710701
158,3071,10th St N,Holy Cross Church,Far side E,OAKDALE,Washington,Posted no parking,N,N,Y,ADA = driveway,Y, , , ,1,1,44.96314805,-92.97728534
159,11172,10th St N,Twins Way (3rd Ave),Near side S,MINNEAPOLIS,Hennepin, ,Y,N,Y, ,Y, , , ,1,1,44.98018187,-93.27966618
160,56614,10th St S,2nd Ave S,Near side E,MINNEAPOLIS,Hennepin,Temp TP Super Bowl,N,N,Y,Temp TP Super Bowl,N,CONV, , ,0,0,44.9728309,-93.27220418
161,41937,10th St S,3rd Ave S,Near side E,MINNEAPOLIS,Hennepin,10/14 US Bench & b/s sign was FS (11/09 restored + 3A10),Y,N,Y, ,N,3A10, , ,0,0,44.97227119,-93.27082505
162,48967,10th St S,Harmon Place,Near side E,MINNEAPOLIS,Hennepin,12/09 was 10HE need 10HP = 53417,Y,N,Y,12/09 delete - Marq2,N, , , ,0,0,44.97503013,-93.27730707
163,53417,10th St S,Harmon Place,Near side E,MINNEAPOLIS,Hennepin,5/13 + 10HP for 960,Y,N,Y, ,N,10HP, , ,0,0,44.97505716,-93.27737213
164,48968,10th St S,LaSalle Ave,Far side E,MINNEAPOLIS,Hennepin,Temp TP Super Bowl,Y,N,Y,Temp TP Super Bowl,N, , , ,0,0,44.97431908,-93.2756651
